ID	mean_coverage	median_coverage
1	34.3940735342901	37
2	16.0802231805402	16
3	29.646924469919	31
4	22.3013317961574	22
5	26.308216459021	29
6	20.4986921315808	21
7	86.9912065562003	90
8	29.646924469919	31
9	20.7485085949523	21
10	29.9752674196653	35
11	37.4071957234606	39
12	42.2411154676513	43
13	36.387482530032	39
14	60.4571122482829	61
15	29.5952405553411	34
16	22.8662385051689	23
17	50.1990515914665	47
18	71.6638750972064	74
19	42.0821210852317	41
20	17.6196414102139	18
21	81.8899813472404	79
22	42.2411154676513	43
23	56.2620032955021	53
24	47.1959790523528	47
25	111.874373936167	116
26	19.067759004171	20
27	54.9567886800046	56
28	41.5867190176576	42
29	13.4774780163905	14
30	60.9581971536868	58
31	45.0388662602577	44
32	44.1065980738171	43
33	27.8686802220929	31
34	48.9954700441032	48
35	12.6671216562345	12
36	34.3342324362244	36
37	60.4571122482829	61
38	60.2593114249512	58
39	47.2981994376982	44
40	7.4269796124794	7
41	34.5694366649083	38
42	29.7878479718523	31
43	38.9191895022487	39
44	86.9912065562003	90
45	68.8446382832935	59
46	41.8060983103754	41
47	41.4681244459913	41
48	61.2882150451092	62
49	41.3199791176103	41
50	51.0479479245406	47
51	53.7939060401225	55
52	42.3764812085683	39
53	14.160103759374	14
54	32.6663820715983	36
55	27.6347539521554	28
56	33.1486673881242	36
57	38.9191895022487	39
58	54.7219542436388	53
59	108.429644292419	71
60	76.3745615513875	72
61	54.9567886800046	56
62	121.295262851643	114
63	30.1349524436203	28
64	33.6580236775846	37
65	86.9912065562003	90
66	68.8446382832935	59
67	30.8887903984512	35
68	19.5552159750281	20
69	15.2728305970515	15
70	37.4071957234606	39
71	51.0479479245406	47
72	53.7143626248729	54
73	33.6943775253281	37
74	37.9188360242975	39
75	51.7329555651025	52
76	40.8349366730655	41
77	20.4986921315808	21
78	36.387482530032	39
79	81.8899813472404	79
80	24.7960486603186	25
81	31.5543023704775	35
82	52.2429100480186	52
83	53.7143626248729	54
84	38.8538504625123	39
85	40.2602304676241	40
86	54.7219542436388	53
87	49.1117642900259	49
88	41.7272183460495	42
89	20.4986921315808	21
90	41.7272183460495	42
91	58.4246249055126	60
92	56.1274206442	56
93	30.1349524436203	28
94	76.3745615513875	72
95	34.3940735342901	37
96	34.1843088418431	37
97	26.2588654989205	28
98	19.487554857059	20
99	29.646924469919	31
100	42.3764812085683	39
