ID	mean_coverage	median_coverage
1	100.118746839091	81
2	25.6987987187784	26
3	62.487973592478	48
4	59.7896316759749	61
5	47.540076242475	40
6	85.6951388624536	74
7	25.5944629038486	26
8	43.6189290161893	39
9	69.6573874172726	50
10	6.38623176189725	5
11	10.6265043205882	10
12	109.655358997645	74
13	63.8930593244764	54
14	43.964037697064	44
15	111.97481061739	103
16	77.04967724744	67
17	47.2882694263325	24
18	24.6971237771022	27
19	30.9812547923453	32
20	23.2926362385595	25
21	29.696400506833	34
22	43.6189290161893	39
23	95.1619527209645	87
24	34.9808632475379	36
25	2.32928374490856	2
26	69.8693545492612	58
27	113.81333645119	109
28	12.2139248560257	12
29	24.851870985986	25
30	81.9585995747388	74
31	61.2200046767852	56
32	30.4241191601364	34
33	5.72789267321779	4
34	89.8299553530157	74
35	30.9812547923453	32
36	19.7055583048285	20
37	43.964037697064	44
38	50.5105363620049	43
39	0.843469086993643	1
40	38.5525948000674	39
41	100.419360803102	95
42	61.5376399636733	46
43	63.1701262188192	56
44	25.5944629038486	26
45	34.3916155029991	38
46	78.5108245824882	74
47	40.1129062957142	42
48	25.7980662037012	26
49	77.0225410170376	68
50	30.7290346789061	34
51	74.8773540272015	64
52	18.9979661422504	19
53	43.2241648403639	43
54	85.6296094884358	75
55	11.9337527938353	12
56	80.4957555455252	84
57	32.2468526867043	36
58	51.0977393725494	52
59	69.8693545492612	58
60	9.85170784231621	10
61	113.81333645119	109
62	46.0752908035913	45
63	8.91289215659617	9
64	27.4816109893576	29
65	25.5944629038486	26
66	34.3916155029991	38
67	39.2241920309755	40
68	41.8200688466286	41
69	415.588404835578	411
70	10.6265043205882	10
71	31.5175406635597	35
72	7.44941186707054	7
73	83.0779717978976	73
74	8.29645923855411	8
75	67.8223256673936	53
76	98.7893869604703	102
77	50.6455812537047	45
78	63.8930593244764	54
79	25.8403040998004	31
80	70.9009609162149	73
81	51.4217807675366	41
82	10.7588519036147	11
83	7.44941186707054	7
84	14.144431090833	14
85	108.183862915812	97
86	51.0977393725494	52
87	30.4348431373615	36
88	132.036995546178	120
89	18.9979661422504	19
90	132.036995546178	120
91	81.100692272972	76
92	45.9934742532099	46
93	8.91289215659617	9
94	19.1446377394813	20
95	100.118746839091	81
96	29.5189056322633	34
97	51.7285670003861	51
98	47.2151484335489	47
99	62.487973592478	48
100	18.9979661422504	19
